Questions;Answers;;;;Indexes;;;
Bitte geben Sie ihre Altersklasse an.;40-54; ; ; ;2; ; ; 
Bitte geben Sie ihr Geschlecht an.;Männlich; ; ; ;1; ; ; 
Bitte geben Sie ihre VR Erfahrung an.;Weniger oft; ; ; ;1; ; ; 
Bitte wählen Sie die passende Weißwein <color=red>Farbe</color>.;grüngelb; ; ; ;0; ; ; 
Bitte wählen Sie bis zu 4 Attribute zum <color=red>Geruch</color> aus.;Maracuja;Mango;Grapefruit;grüne Paprika;1;2;3;4
Bitte bewerten Sie den <color=red>Geschmack</color>.Eine Auswahl pro Zeile.;wenig;mittel;wenig; ;0;5;8; 
Bitte bewerten Sie den <color=red>Geschmack</color>.Eine Auswahl pro Zeile.;mittel;mittel; ; ;1;5; ; 
Bitte bewerten Sie den <color=red>Gesamteindruck</color>.;sehr gut; ; ; ;4; ; ; 
Bitte wählen Sie die passende Rotwein <color=red>Farbe</color>.;granatrot; ; ; ;1; ; ; 
Bitte wählen Sie bis zu 4 Attribute zum <color=red>Geruch</color> aus.;reife Süßkirsche;Brombeere;getrocknete Pflaume; ;0;1;2; 
Bitte bewerten Sie den <color=red>Geschmack</color>.Eine Auswahl pro Zeile.;mittel;mittel;mittel; ;1;5;9; 
Bitte bewerten Sie den <color=red>Geschmack</color>.Eine Auswahl pro Zeile.;mittel;mittel;mittel; ;1;5;9; 
Bitte bewerten Sie den <color=red>Gesamteindruck</color>.;gut; ; ; ;3; ; ; 
Proband ID;999; ; ; 
Studie;Farbe_Rangordnung; ; ; 
Studie Variante;Weiß; ; ; 
Umgebung;Sensoriklabor; ; ; 
Zeit in Sekunden;742; ; ; 
