Questions;Answers;;;Indexes;;
Bitte geben Sie ihre Altersklasse an.;40-54; ; ;2; ; 
Bitte geben Sie ihr Geschlecht an.;Weiblich; ; ;0; ; 
Bitte geben Sie ihre VR Erfahrung an.;Dies ist mein erstes Mal VR; ; ;0; ; 
Bitte wählen Sie die passende Weißwein <color=red>Farbe</color>.;goldgelb; ; ;2; ; 
Bitte wählen Sie bis zu 4 Attribute zum <color=red>Geruch</color> aus.;Mango; ; ;2; ; 
Bitte bewerten Sie den <color=red>Geschmack</color>.Eine Auswahl pro Zeile.;wenig;viel;mittel;0;6;9
Bitte bewerten Sie den <color=red>Geschmack</color>.Eine Auswahl pro Zeile.;viel;lang; ;2;6; 
Bitte bewerten Sie den <color=red>Gesamteindruck</color>.;akzeptabel; ; ;2; ; 
Bitte wählen Sie die passende Rotwein <color=red>Farbe</color>.;granatrot; ; ;1; ; 
Bitte wählen Sie bis zu 4 Attribute zum <color=red>Geruch</color> aus.;reife Süßkirsche; ; ;0; ; 
Bitte bewerten Sie den <color=red>Geschmack</color>.Eine Auswahl pro Zeile.;wenig;wenig;wenig;0;4;8
Bitte bewerten Sie den <color=red>Geschmack</color>.Eine Auswahl pro Zeile.;mittel;wenig;mittel;1;4;9
Bitte bewerten Sie den <color=red>Gesamteindruck</color>.;gut; ; ;3; ; 
Proband ID;999; ; 
Studie;Farbe_Rangordnung; ; 
Studie Variante;Weiß; ; 
Umgebung;Sensoriklabor; ; 
Zeit in Sekunden;543; ; 
