Questions;Answers;;;Indexes;;
Bitte geben Sie ihre Altersklasse an.;25-39; ; ;1; ; 
Bitte geben Sie ihr Geschlecht an.;Männlich; ; ;1; ; 
Bitte geben Sie ihre VR Erfahrung an.;Weniger oft; ; ;1; ; 
Bitte wählen Sie die passende Weißwein <color=red>Farbe</color>.;strohgelb; ; ;1; ; 
Bitte wählen Sie bis zu 4 Attribute zum <color=red>Geruch</color> aus.;Maracuja;Grapefruit; ;1;3; 
Bitte bewerten Sie den <color=red>Geschmack</color>.Eine Auswahl pro Zeile.;mittel;mittel;wenig;1;5;8
Bitte bewerten Sie den <color=red>Geschmack</color>.Eine Auswahl pro Zeile.;mittel;lang; ;1;6; 
Bitte bewerten Sie den <color=red>Gesamteindruck</color>.;sehr gut; ; ;4; ; 
Bitte wählen Sie die passende Rotwein <color=red>Farbe</color>.;granatrot; ; ;1; ; 
Bitte wählen Sie bis zu 4 Attribute zum <color=red>Geruch</color> aus.;Brombeere;buttrig / Molke; ;1;7; 
Bitte bewerten Sie den <color=red>Geschmack</color>.Eine Auswahl pro Zeile.;mittel;viel;mittel;1;6;9
Bitte bewerten Sie den <color=red>Geschmack</color>.Eine Auswahl pro Zeile.;viel;mittel;lang;2;5;10
Bitte bewerten Sie den <color=red>Gesamteindruck</color>.;akzeptabel; ; ;2; ; 
Proband ID;999; ; 
Studie;Farbe_Rangordnung; ; 
Studie Variante;Weiß; ; 
Umgebung;Sensoriklabor; ; 
Zeit in Sekunden;722; ; 
