Questions;Answers;;;Indexes;;
Bitte geben Sie ihre Altersklasse an.;40-54; ; ;2; ; 
Bitte geben Sie ihr Geschlecht an.;Weiblich; ; ;0; ; 
Bitte geben Sie ihre VR Erfahrung an.;Dies ist mein erstes Mal VR; ; ;0; ; 
Bitte wählen Sie die passende Weißwein <color=red>Farbe</color>.;strohgelb; ; ;1; ; 
Bitte wählen Sie bis zu 4 Attribute zum <color=red>Geruch</color> aus.;Schwarze Johannisbeere;Feuerstein; ;0;6; 
Bitte bewerten Sie den <color=red>Geschmack</color>.Eine Auswahl pro Zeile.;wenig;viel;mittel;0;6;9
Bitte bewerten Sie den <color=red>Geschmack</color>.Eine Auswahl pro Zeile.;mittel;lang; ;1;6; 
Bitte bewerten Sie den <color=red>Gesamteindruck</color>.;schlecht; ; ;1; ; 
Bitte wählen Sie die passende Rotwein <color=red>Farbe</color>.;granatrot; ; ;1; ; 
Bitte wählen Sie bis zu 4 Attribute zum <color=red>Geruch</color> aus.;getrocknete Pflaume;Vanille;Leder;2;4;6
Bitte bewerten Sie den <color=red>Geschmack</color>.Eine Auswahl pro Zeile.;wenig;mittel;viel;0;5;10
Bitte bewerten Sie den <color=red>Geschmack</color>.Eine Auswahl pro Zeile.;mittel;keineAngabge;lang;1;7;10
Bitte bewerten Sie den <color=red>Gesamteindruck</color>.;schlecht; ; ;1; ; 
Proband ID;999; ; 
Studie;Farbe_Rangordnung; ; 
Studie Variante;Weiß; ; 
Umgebung;Sensoriklabor; ; 
Zeit in Sekunden;525; ; 
