Questions;Answers;;;;Indexes;;;
Bitte geben Sie ihre Altersklasse an.;25-39; ; ; ;1; ; ; 
Bitte geben Sie ihr Geschlecht an.;Männlich; ; ; ;1; ; ; 
Bitte geben Sie ihre VR Erfahrung an.;Dies ist mein erstes Mal VR; ; ; ;0; ; ; 
Bitte wählen Sie die passende Weißwein <color=red>Farbe</color>.;strohgelb; ; ; ;1; ; ; 
Bitte wählen Sie bis zu 4 Attribute zum <color=red>Geruch</color> aus.;Maracuja; ; ; ;1; ; ; 
Bitte bewerten Sie den <color=red>Geschmack</color>.Eine Auswahl pro Zeile.;mittel;wenig;wenig; ;1;4;8; 
Bitte bewerten Sie den <color=red>Geschmack</color>.Eine Auswahl pro Zeile.;wenig;kurz; ; ;0;4; ; 
Bitte bewerten Sie den <color=red>Gesamteindruck</color>.;sehr gut; ; ; ;4; ; ; 
Bitte wählen Sie die passende Rotwein <color=red>Farbe</color>.;granatrot; ; ; ;1; ; ; 
Bitte wählen Sie bis zu 4 Attribute zum <color=red>Geruch</color> aus.;getrocknete Pflaume;Vanille;Kiefernadel;buttrig / Molke;2;4;5;7
Bitte bewerten Sie den <color=red>Geschmack</color>.Eine Auswahl pro Zeile.;viel;wenig;wenig; ;2;4;8; 
Bitte bewerten Sie den <color=red>Geschmack</color>.Eine Auswahl pro Zeile.;wenig;wenig;mittel; ;0;4;9; 
Bitte bewerten Sie den <color=red>Gesamteindruck</color>.;gut; ; ; ;3; ; ; 
Proband ID;999; ; ; 
Studie;Farbe_Rangordnung; ; ; 
Studie Variante;Weiß; ; ; 
Umgebung;Sensoriklabor; ; ; 
Zeit in Sekunden;507; ; ; 
