Questions;Answers;;;Indexes;;
Bitte geben Sie ihre Altersklasse an.;25-39; ; ;1; ; 
Bitte geben Sie ihr Geschlecht an.;Männlich; ; ;1; ; 
Bitte geben Sie ihre VR Erfahrung an.;Weniger oft; ; ;1; ; 
Bitte wählen Sie die passende Weißwein <color=red>Farbe</color>.;goldgelb; ; ;2; ; 
Bitte wählen Sie bis zu 4 Attribute zum <color=red>Geruch</color> aus.;Mango;Grapefruit; ;2;3; 
Bitte bewerten Sie den <color=red>Geschmack</color>.Eine Auswahl pro Zeile.;wenig;mittel;wenig;0;5;8
Bitte bewerten Sie den <color=red>Geschmack</color>.Eine Auswahl pro Zeile.;mittel;kurz; ;1;4; 
Bitte bewerten Sie den <color=red>Gesamteindruck</color>.;gut; ; ;3; ; 
Bitte wählen Sie die passende Rotwein <color=red>Farbe</color>.;granatrot; ; ;1; ; 
Bitte wählen Sie bis zu 4 Attribute zum <color=red>Geruch</color> aus.;Brombeere;Vanille; ;1;4; 
Bitte bewerten Sie den <color=red>Geschmack</color>.Eine Auswahl pro Zeile.;wenig;wenig;mittel;0;4;9
Bitte bewerten Sie den <color=red>Geschmack</color>.Eine Auswahl pro Zeile.;mittel;wenig;mittel;1;4;9
Bitte bewerten Sie den <color=red>Gesamteindruck</color>.;sehr gut; ; ;4; ; 
Proband ID;999; ; 
Studie;Farbe_Rangordnung; ; 
Studie Variante;Weiß; ; 
Umgebung;Sensoriklabor; ; 
Zeit in Sekunden;465; ; 
