Questions;Answers;;;;Indexes;;;
Bitte geben Sie ihre Altersklasse an.;25-39; ; ; ;1; ; ; 
Bitte geben Sie ihr Geschlecht an.;Männlich; ; ; ;1; ; ; 
Bitte geben Sie ihre VR Erfahrung an.;Dies ist mein erstes Mal VR; ; ; ;0; ; ; 
Bitte wählen Sie die passende Weißwein <color=red>Farbe</color>.;grüngelb; ; ; ;0; ; ; 
Bitte wählen Sie bis zu 4 Attribute zum <color=red>Geruch</color> aus.;Maracuja;Mango;Grapefruit;grüne Paprika;1;2;3;4
Bitte bewerten Sie den <color=red>Geschmack</color>.Eine Auswahl pro Zeile.;mittel;viel;wenig; ;1;6;8; 
Bitte bewerten Sie den <color=red>Geschmack</color>.Eine Auswahl pro Zeile.;viel;lang; ; ;2;6; ; 
Bitte bewerten Sie den <color=red>Gesamteindruck</color>.;gut; ; ; ;3; ; ; 
Bitte wählen Sie die passende Rotwein <color=red>Farbe</color>.;hellrot; ; ; ;0; ; ; 
Bitte wählen Sie bis zu 4 Attribute zum <color=red>Geruch</color> aus.;reife Süßkirsche;Brombeere;getrocknete Pflaume;Vanille;0;1;2;4
Bitte bewerten Sie den <color=red>Geschmack</color>.Eine Auswahl pro Zeile.;viel;wenig;wenig; ;2;4;8; 
Bitte bewerten Sie den <color=red>Geschmack</color>.Eine Auswahl pro Zeile.;mittel;mittel;lang; ;1;5;10; 
Bitte bewerten Sie den <color=red>Gesamteindruck</color>.;gut; ; ; ;3; ; ; 
Proband ID;999; ; ; 
Studie;Farbe_Rangordnung; ; ; 
Studie Variante;Weiß; ; ; 
Umgebung;Sensoriklabor; ; ; 
Zeit in Sekunden;575; ; ; 
