Questions;Answers;;;;Indexes;;;
Bitte geben Sie ihre Altersklasse an.;55 oder älter; ; ; ;3; ; ; 
Bitte geben Sie ihr Geschlecht an.;Weiblich; ; ; ;0; ; ; 
Bitte geben Sie ihre VR Erfahrung an.;Weniger oft; ; ; ;1; ; ; 
Bitte wählen Sie die passende Weißwein <color=red>Farbe</color>.;strohgelb; ; ; ;1; ; ; 
Bitte wählen Sie bis zu 4 Attribute zum <color=red>Geruch</color> aus.;Maracuja;Mango;Grapefruit; ;1;2;3; 
Bitte bewerten Sie den <color=red>Geschmack</color>.Eine Auswahl pro Zeile.;wenig;mittel;wenig; ;0;5;8; 
Bitte bewerten Sie den <color=red>Geschmack</color>.Eine Auswahl pro Zeile.;mittel;lang; ; ;1;6; ; 
Bitte bewerten Sie den <color=red>Gesamteindruck</color>.;sehr gut; ; ; ;4; ; ; 
Bitte wählen Sie die passende Rotwein <color=red>Farbe</color>.;hellrot; ; ; ;0; ; ; 
Bitte wählen Sie bis zu 4 Attribute zum <color=red>Geruch</color> aus.;reife Süßkirsche;getrocknete Pflaume;Vanille; ;0;2;4; 
Bitte bewerten Sie den <color=red>Geschmack</color>.Eine Auswahl pro Zeile.;mittel;wenig;wenig; ;1;4;8; 
Bitte bewerten Sie den <color=red>Geschmack</color>.Eine Auswahl pro Zeile.;mittel;mittel;mittel;lang;1;5;9;10
Bitte bewerten Sie den <color=red>Gesamteindruck</color>.;sehr gut; ; ; ;4; ; ; 
Proband ID;999; ; ; 
Studie;Farbe_Rangordnung; ; ; 
Studie Variante;Weiß; ; ; 
Umgebung;Sensoriklabor; ; ; 
Zeit in Sekunden;950; ; ; 
