Questions;Answers;;;Indexes;;
Bitte geben Sie ihre Altersklasse an.;55 oder älter; ; ;3; ; 
Bitte geben Sie ihr Geschlecht an.;Männlich; ; ;1; ; 
Bitte geben Sie ihre VR Erfahrung an.;Dies ist mein erstes Mal VR; ; ;0; ; 
Bitte wählen Sie die passende Weißwein <color=red>Farbe</color>.;strohgelb; ; ;1; ; 
Bitte wählen Sie bis zu 4 Attribute zum <color=red>Geruch</color> aus.;Grapefruit;Gras;Feuerstein;3;5;6
Bitte bewerten Sie den <color=red>Geschmack</color>.Eine Auswahl pro Zeile.;wenig;mittel;mittel;0;5;9
Bitte bewerten Sie den <color=red>Geschmack</color>.Eine Auswahl pro Zeile.;wenig;mittel; ;0;5; 
Bitte bewerten Sie den <color=red>Gesamteindruck</color>.;akzeptabel; ; ;2; ; 
Bitte wählen Sie die passende Rotwein <color=red>Farbe</color>.;hellrot; ; ;0; ; 
Bitte wählen Sie bis zu 4 Attribute zum <color=red>Geruch</color> aus.;Brombeere;getrocknete Pflaume;buttrig / Molke;1;2;7
Bitte bewerten Sie den <color=red>Geschmack</color>.Eine Auswahl pro Zeile.;mittel;mittel;wenig;1;5;8
Bitte bewerten Sie den <color=red>Geschmack</color>.Eine Auswahl pro Zeile.;mittel;wenig;mittel;1;4;9
Bitte bewerten Sie den <color=red>Gesamteindruck</color>.;gut; ; ;3; ; 
Proband ID;999; ; 
Studie;Farbe_Rangordnung; ; 
Studie Variante;Weiß; ; 
Umgebung;Sensoriklabor; ; 
Zeit in Sekunden;732; ; 
