Questions;Answers;;;;;Indexes;;;;
Bitte geben Sie ihre Altersklasse an.;25-39; ; ; ; ;1; ; ; ; 
Bitte geben Sie ihr Geschlecht an.;Weiblich; ; ; ; ;0; ; ; ; 
Bitte geben Sie ihre VR Erfahrung an.;Ein paar mal im Monat; ; ; ; ;2; ; ; ; 
Bitte wählen Sie die passende Weißwein <color=red>Farbe</color>.;grüngelb; ; ; ; ;0; ; ; ; 
Bitte wählen Sie bis zu 4 Attribute zum <color=red>Geruch</color> aus.;Schwarze Johannisbeere;Mango;grüne Paprika;Feuerstein; ;0;2;4;6; 
Bitte bewerten Sie den <color=red>Geschmack</color>.Eine Auswahl pro Zeile.;wenig;viel;wenig; ; ;0;6;8; ; 
Bitte bewerten Sie den <color=red>Geschmack</color>.Eine Auswahl pro Zeile.;mittel;lang; ; ; ;1;6; ; ; 
Bitte bewerten Sie den <color=red>Gesamteindruck</color>.;sehr gut; ; ; ; ;4; ; ; ; 
Bitte wählen Sie die passende Rotwein <color=red>Farbe</color>.;granatrot; ; ; ; ;1; ; ; ; 
Bitte wählen Sie bis zu 4 Attribute zum <color=red>Geruch</color> aus.;reife Süßkirsche;getrocknete Pflaume;Vanille;Leder;buttrig / Molke;0;2;4;6;7
Bitte bewerten Sie den <color=red>Geschmack</color>.Eine Auswahl pro Zeile.;viel;mittel;mittel; ; ;2;5;9; ; 
Bitte bewerten Sie den <color=red>Geschmack</color>.Eine Auswahl pro Zeile.;viel;viel;mittel; ; ;2;6;9; ; 
Bitte bewerten Sie den <color=red>Gesamteindruck</color>.;gut; ; ; ; ;3; ; ; ; 
Proband ID;999; ; ; ; 
Studie;Farbe_Rangordnung; ; ; ; 
Studie Variante;Weiß; ; ; ; 
Umgebung;Sensoriklabor; ; ; ; 
Zeit in Sekunden;260; ; ; ; 
