Questions;Answers;;;Indexes;;
Bitte geben Sie ihre Altersklasse an.;55 oder älter; ; ;3; ; 
Bitte geben Sie ihr Geschlecht an.;Männlich; ; ;1; ; 
Bitte geben Sie ihre VR Erfahrung an.;Dies ist mein erstes Mal VR; ; ;0; ; 
Bitte wählen Sie die passende Weißwein <color=red>Farbe</color>.;grüngelb; ; ;0; ; 
Bitte wählen Sie bis zu 4 Attribute zum <color=red>Geruch</color> aus.;Grapefruit;grüne Paprika;verdorbene Eier / Kohl;3;4;7
Bitte bewerten Sie den <color=red>Geschmack</color>.Eine Auswahl pro Zeile.;wenig;mittel;wenig;0;5;8
Bitte bewerten Sie den <color=red>Geschmack</color>.Eine Auswahl pro Zeile.;mittel;kurz; ;1;4; 
Bitte bewerten Sie den <color=red>Gesamteindruck</color>.;akzeptabel; ; ;2; ; 
Bitte wählen Sie die passende Rotwein <color=red>Farbe</color>.;granatrot; ; ;1; ; 
Bitte wählen Sie bis zu 4 Attribute zum <color=red>Geruch</color> aus.;reife Süßkirsche;getrocknete Pflaume;Leder;0;2;6
Bitte bewerten Sie den <color=red>Geschmack</color>.Eine Auswahl pro Zeile.;viel;wenig;wenig;2;4;8
Bitte bewerten Sie den <color=red>Geschmack</color>.Eine Auswahl pro Zeile.;mittel;mittel;lang;1;5;10
Bitte bewerten Sie den <color=red>Gesamteindruck</color>.;akzeptabel; ; ;2; ; 
Proband ID;999; ; 
Studie;Farbe_Rangordnung; ; 
Studie Variante;Weiß; ; 
Umgebung;Sensoriklabor; ; 
Zeit in Sekunden;831; ; 
