Questions;Answers;;;;Indexes;;;
Bitte geben Sie ihre Altersklasse an.;40-54; ; ; ;2; ; ; 
Bitte geben Sie ihr Geschlecht an.;Weiblich; ; ; ;0; ; ; 
Bitte geben Sie ihre VR Erfahrung an.;Weniger oft; ; ; ;1; ; ; 
Bitte wählen Sie die passende Weißwein <color=red>Farbe</color>.;grüngelb; ; ; ;0; ; ; 
Bitte wählen Sie bis zu 4 Attribute zum <color=red>Geruch</color> aus.;Maracuja;Mango; ; ;1;2; ; 
Bitte bewerten Sie den <color=red>Geschmack</color>.Eine Auswahl pro Zeile.;mittel;mittel;keineAngabge;keineAngabge;1;5;7;11
Bitte bewerten Sie den <color=red>Geschmack</color>.Eine Auswahl pro Zeile.;mittel;lang; ; ;1;6; ; 
Bitte bewerten Sie den <color=red>Gesamteindruck</color>.;sehr gut; ; ; ;4; ; ; 
Bitte wählen Sie die passende Rotwein <color=red>Farbe</color>.;hellrot; ; ; ;0; ; ; 
Bitte wählen Sie bis zu 4 Attribute zum <color=red>Geruch</color> aus.;Brombeere; ; ; ;1; ; ; 
Bitte bewerten Sie den <color=red>Geschmack</color>.Eine Auswahl pro Zeile.;wenig;viel;viel; ;0;6;10; 
Bitte bewerten Sie den <color=red>Geschmack</color>.Eine Auswahl pro Zeile.;viel;viel;mittel; ;2;6;9; 
Bitte bewerten Sie den <color=red>Gesamteindruck</color>.;akzeptabel; ; ; ;2; ; ; 
Proband ID;999; ; ; 
Studie;Farbe_Rangordnung; ; ; 
Studie Variante;Weiß; ; ; 
Umgebung;Sensoriklabor; ; ; 
Zeit in Sekunden;665; ; ; 
