Questions;Answers;;;;Indexes;;;
Bitte geben Sie ihre Altersklasse an.;55 oder älter; ; ; ;3; ; ; 
Bitte geben Sie ihr Geschlecht an.;Männlich; ; ; ;1; ; ; 
Bitte geben Sie ihre VR Erfahrung an.;Weniger oft; ; ; ;1; ; ; 
Bitte wählen Sie die passende Weißwein <color=red>Farbe</color>.;strohgelb; ; ; ;1; ; ; 
Bitte wählen Sie bis zu 4 Attribute zum <color=red>Geruch</color> aus.;Maracuja;Mango;Grapefruit; ;1;2;3; 
Bitte bewerten Sie den <color=red>Geschmack</color>.Eine Auswahl pro Zeile.;mittel;wenig;mittel; ;1;4;9; 
Bitte bewerten Sie den <color=red>Geschmack</color>.Eine Auswahl pro Zeile.;viel;lang; ; ;2;6; ; 
Bitte bewerten Sie den <color=red>Gesamteindruck</color>.;gut; ; ; ;3; ; ; 
Bitte wählen Sie die passende Rotwein <color=red>Farbe</color>.;hellrot; ; ; ;0; ; ; 
Bitte wählen Sie bis zu 4 Attribute zum <color=red>Geruch</color> aus.;reife Süßkirsche;getrocknete Pflaume;Kaffee;Vanille;0;2;3;4
Bitte bewerten Sie den <color=red>Geschmack</color>.Eine Auswahl pro Zeile.;mittel;wenig;mittel; ;1;4;9; 
Bitte bewerten Sie den <color=red>Geschmack</color>.Eine Auswahl pro Zeile.;viel;mittel;mittel; ;2;5;9; 
Bitte bewerten Sie den <color=red>Gesamteindruck</color>.;gut; ; ; ;3; ; ; 
Proband ID;999; ; ; 
Studie;Farbe_Rangordnung; ; ; 
Studie Variante;Weiß; ; ; 
Umgebung;Sensoriklabor; ; ; 
Zeit in Sekunden;513; ; ; 
