Questions;Answers;;;Indexes;;
Bitte ordnen Sie der Probe <color=red>644</color> die entsprechende Farbe zu.;Dunkelrot mit bläul. Reflexen; ; ;2; ; 
"Bitte ordnen Sie derselben Probe den entsprechenden Geruch zu.
Mehrfachnennungen sind möglich!";Fruchtig;Vegetativ;Holz;0;2;11
"Bitte ordnen Sie derselben Probe den entsprechenden Geschmack zu.
Mehrfachnennungen sind möglich!";Dezente Säure;Holz;Bitter;4;5;6
Bitte ordnen Sie der Probe <color=red>983</color> die entsprechende Farbe zu.;Rubinrot; ; ;1; ; 
"Bitte ordnen Sie derselben Probe den entsprechenden Geruch zu.
Mehrfachnennungen sind möglich!";Fruchtig;Vegetativ;Dumpf;0;2;4
"Bitte ordnen Sie derselben Probe den entsprechenden Geschmack zu.
Mehrfachnennungen sind möglich!";Bitter;Dominante Säure; ;6;8; 
Proband ID;3; ; 
Studie;CATA; ; 
Studie Variante;Rotwein; ; 
Umgebung;Sensoriklabor; ; 
