Questions;Answers;;;;Indexes;;;
Please pick a fitting <color=red>color</color> for sample <color=red>131</color>.;pale yellow; ; ; ;0; ; ; 
"Please pick a fitting <color=red>aroma</color> for the sample.
 You can choose multiple answers!";fruity;lemon;honeydew;apple;0;5;6;8
"Please pick a fitting <color=red>taste</color> for the same sample.
You can choose multiple answers!";sweet;acidic;"butter
cream"; ;0;2;9; 
Please pick a fitting <color=red>color</color> for sample <color=red>720</color>.;medium yellow; ; ; ;1; ; ; 
"Please pick a fitting <color=red>aroma</color> for the sample.
 You can choose multiple answers!";vegetal;dull;lemon;apple;2;4;5;8
"Please pick a fitting <color=red>taste</color> for the same sample.
You can choose multiple answers!";acidic;bitter;low sweetness;"butter
cream";2;6;7;9
Please pick a fitting <color=red>color</color> for sample <color=red>364</color>.;medium yellow; ; ; ;1; ; ; 
"Please pick a fitting <color=red>aroma</color> for the sample.
 You can choose multiple answers!";fruity;floral;peach;rose;0;1;7;10
"Please pick a fitting <color=red>taste</color> for the same sample.
You can choose multiple answers!";acidic;bitter;low sweetness; ;2;6;7; 
Proband ID;1; ; ; 
Studie;CATA; ; ; 
Studie Variante;Weißwein; ; ; 
Umgebung;Sensoriklabor; ; ; 
