Questions;Answers;;;;;Indexes;;;;
Bitte ordnen Sie der Probe <color=red>644</color> die entsprechende <color=red>Farbe</color> zu.;Dunkelrot mit bläul. Reflexen; ; ; ; ;2; ; ; ; 
"Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geruch</color> zu.
Mehrfachnennungen sind möglich!";Fruchtig;Kirsche;Dunkle Beeren;Vanille;Holz;0;2;3;8;11
"Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geschmack</color> zu.
Mehrfachnennungen sind möglich!";Leichte Süße;Alkoholisch;Adstringierend;Tannine; ;0;6;7;8; 
Bitte ordnen Sie der Probe <color=red>983</color> die entsprechende <color=red>Farbe</color> zu.;Hellrot mit braunem Rand; ; ; ; ;0; ; ; ; 
"Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geruch</color> zu.
Mehrfachnennungen sind möglich!";Vegetativ;Würzig;Dumpf; ; ;5;6;12; ; 
"Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geschmack</color> zu.
Mehrfachnennungen sind möglich!";Leichte Süße;Dezente Säure;Bitter;Adstringierend; ;0;2;5;7; 
Proband ID;22; ; ; ; 
Studie;CATA; ; ; ; 
Studie Variante;Rotwein; ; ; ; 
Umgebung;Sensoriklabor; ; ; ; 
