Questions;Answers;;;;Indexes;;;
Bitte ordnen Sie der Probe <color=red>720</color> die entsprechende Farbe zu.;Mittleres gelb; ; ; ;1; ; ; 
"Bitte ordnen Sie derselben Probe den entsprechenden Geruch zu.
Mehrfachnennungen sind möglich!";Buttrig/laktisch;Dumpf;Honigmelone;Birne;3;4;6;9
"Bitte ordnen Sie derselben Probe den entsprechenden Geschmack zu.
Mehrfachnennungen sind möglich!";Alkoholisch;Leichte Süße;Schmelz/Cremig; ;3;7;9; 
Bitte ordnen Sie der Probe <color=red>597</color> die entsprechende Farbe zu.;Hellgelb; ; ; ;0; ; ; 
"Bitte ordnen Sie derselben Probe den entsprechenden Geruch zu.
Mehrfachnennungen sind möglich!";Blumig;Honigmelone;Rose; ;1;6;10; 
"Bitte ordnen Sie derselben Probe den entsprechenden Geschmack zu.
Mehrfachnennungen sind möglich!";Süß;Dezente Säure; ; ;0;4; ; 
Bitte ordnen Sie der Probe <color=red>131</color> die entsprechende Farbe zu.;Hellgelb; ; ; ;0; ; ; 
"Bitte ordnen Sie derselben Probe den entsprechenden Geruch zu.
Mehrfachnennungen sind möglich!";Vegetativ;Zitrus; ; ;2;5; ; 
"Bitte ordnen Sie derselben Probe den entsprechenden Geschmack zu.
Mehrfachnennungen sind möglich!";Sauer;Alkoholisch;Bitter;Leichte Süße;2;3;6;7
Proband ID;2; ; ; 
Studie;CATA; ; ; 
Studie Variante;Weißwein; ; ; 
Umgebung;Sensoriklabor; ; ; 
