Questions;Answers;;;;Indexes;;;
Bitte ordnen Sie der Probe <color=red>131</color> die entsprechende <color=red>Farbe</color> zu.;Hellgelb; ; ; ;0; ; ; 
"Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geruch</color> zu.
Mehrfachnennungen sind möglich!";Fruchtig;Honigmelone;Birne;"Buttrig
Laktisch";2;4;7;9
"Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geschmack</color> zu.
Mehrfachnennungen sind möglich!";Sauer;Bitter;"Schmelz
Cremig"; ;4;6;8; 
Bitte ordnen Sie der Probe <color=red>720</color> die entsprechende <color=red>Farbe</color> zu.;Mittleres gelb; ; ; ;1; ; ; 
"Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geruch</color> zu.
Mehrfachnennungen sind möglich!";Pfirsich;Birne;"Buttrig
Laktisch";Holz;5;7;9;10
"Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geschmack</color> zu.
Mehrfachnennungen sind möglich!";Dezente Säure;"Schmelz
Cremig";Holz; ;3;8;9; 
Bitte ordnen Sie der Probe <color=red>597</color> die entsprechende <color=red>Farbe</color> zu.;Hellgelb; ; ; ;0; ; ; 
"Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geruch</color> zu.
Mehrfachnennungen sind möglich!";Blumig;Fruchtig;Zitrus; ;0;2;3; 
"Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geschmack</color> zu.
Mehrfachnennungen sind möglich!";Leichte Süße;Dezente Säure; ; ;0;3; ; 
Proband ID;2; ; ; 
Studie;CATA; ; ; 
Studie Variante;Weißwein; ; ; 
Umgebung;Weinkeller; ; ; 
