Questions;Answers;;;;;Indexes;;;;
Please pick a fitting <color=red>color</color> for sample <color=red>322</color>.;deep red with blue reflection; ; ; ; ;2; ; ; ; 
"Please pick a fitting <color=red>aroma</color> for the sample.
 You can choose multiple answers!";fruity;strawberry;cherry;dark berries;plum;0;1;2;3;4
"Please pick a fitting <color=red>taste</color> for the same sample.
You can choose multiple answers!";medium sweetness;low acidity; ; ; ;1;2; ; ; 
Please pick a fitting <color=red>color</color> for sample <color=red>983</color>.;pale red with brown rim; ; ; ; ;0; ; ; ; 
"Please pick a fitting <color=red>aroma</color> for the sample.
 You can choose multiple answers!";fruity;strawberry;dark berries;smoke;wood;0;1;3;10;11
"Please pick a fitting <color=red>taste</color> for the same sample.
You can choose multiple answers!";low sweetness;high acidity;bitter;astringent;tannin;0;4;5;7;8
Proband ID;14; ; ; ; 
Studie;CATA; ; ; ; 
Studie Variante;Rotwein; ; ; ; 
Umgebung;Weinkeller; ; ; ; 
