Questions;Answers;;;;;Indexes;;;;
Please pick a fitting <color=red>color</color> for sample <color=red>322</color>.;deep red with bluish reflections; ; ; ; ;2; ; ; ; 
"Please pick a fitting <color=red>aroma</color> for the sample.
 You can choose multiple answers!";vegetal;cherry;dark berries; ; ;1;6;7; ; 
"Please pick a fitting <color=red>taste</color> for the same sample.
You can choose multiple answers!";sweet;low acidity; ; ; ;0;5; ; ; 
Please pick a fitting <color=red>color</color> for sample <color=red>983</color>.;ruby; ; ; ; ;1; ; ; ; 
"Please pick a fitting <color=red>aroma</color> for the sample.
 You can choose multiple answers!";vegetal;smoke;dark berries;clove;wood;1;3;7;9;12
"Please pick a fitting <color=red>taste</color> for the same sample.
You can choose multiple answers!";astringent;acidic;low sweetness; ; ;1;3;8; ; 
Proband ID;16; ; ; ; 
Studie;CATA; ; ; ; 
Studie Variante;Rotwein; ; ; ; 
Umgebung;Sensoriklabor; ; ; ; 
