Questions;Answers;;;;Indexes;;;
Bitte ordnen Sie der Probe <color=red>644</color> die entsprechende <color=red>Farbe</color> zu.;Dunkelrot mit bläul. Reflexen; ; ; ;2; ; ; 
"Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geruch</color> zu.
Mehrfachnennungen sind möglich!";Würzig;Kirsche;Dunkle Beeren;Holz;2;6;7;12
"Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geschmack</color> zu.
Mehrfachnennungen sind möglich!";Adstringierend;Tannine;Holz;Bitter;1;2;6;7
Bitte ordnen Sie der Probe <color=red>983</color> die entsprechende <color=red>Farbe</color> zu.;Hellrot mit braunem Rand; ; ; ;0; ; ; 
"Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geruch</color> zu.
Mehrfachnennungen sind möglich!";Vegetativ;Würzig;Dumpf; ;1;2;4; 
"Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geschmack</color> zu.
Mehrfachnennungen sind möglich!";Tannine;Bitter; ; ;2;7; ; 
Proband ID;22; ; ; 
Studie;CATA; ; ; 
Studie Variante;Rotwein; ; ; 
Umgebung;Weinkeller; ; ; 
