Questions;Answers;;;;;Indexes;;;;
Bitte ordnen Sie der Probe <color=red>720</color> die entsprechende Farbe zu.;Mittleres gelb; ; ; ; ;1; ; ; ; 
"Bitte ordnen Sie derselben Probe den entsprechenden Geruch zu.
Mehrfachnennungen sind möglich!";Fruchtig;Vegetativ;Honigmelone;Apfel;Birne;0;2;6;8;9
"Bitte ordnen Sie derselben Probe den entsprechenden Geschmack zu.
Mehrfachnennungen sind möglich!";Sauer;Alkoholisch;Leichte Süße;Schmelz/Cremig; ;2;3;7;9; 
Bitte ordnen Sie der Probe <color=red>364</color> die entsprechende Farbe zu.;Mittleres gelb; ; ; ; ;1; ; ; ; 
"Bitte ordnen Sie derselben Probe den entsprechenden Geruch zu.
Mehrfachnennungen sind möglich!";Fruchtig;Blumig;Pfirsich;Birne;Rose;0;1;7;9;10
"Bitte ordnen Sie derselben Probe den entsprechenden Geschmack zu.
Mehrfachnennungen sind möglich!";Dezente Säure;Bitter;Leichte Süße; ; ;4;6;7; ; 
Bitte ordnen Sie der Probe <color=red>131</color> die entsprechende Farbe zu.;Mittleres gelb; ; ; ; ;1; ; ; ; 
"Bitte ordnen Sie derselben Probe den entsprechenden Geruch zu.
Mehrfachnennungen sind möglich!";Vegetativ;Dumpf;Apfel; ; ;2;4;8; ; 
"Bitte ordnen Sie derselben Probe den entsprechenden Geschmack zu.
Mehrfachnennungen sind möglich!";Sauer;Leichte Süße;Schmelz/Cremig; ; ;2;7;9; ; 
Proband ID;1; ; ; ; 
Studie;CATA; ; ; ; 
Studie Variante;Weißwein; ; ; ; 
Umgebung;Sensoriklabor; ; ; ; 
