Questions;Answers;;;;Indexes;;;
Please pick a fitting <color=red>color</color> for sample <color=red>597</color>.;pale yellow; ; ; ;0; ; ; 
"Please pick a fitting <color=red>aroma</color> for the sample.
 You can choose multiple answers!";rose;peach;"butter
lactic";wood;1;5;9;10
"Please pick a fitting <color=red>taste</color> for the same sample.
You can choose multiple answers!";medium sweetness;"butter
cream";wood; ;1;8;9; 
Please pick a fitting <color=red>color</color> for sample <color=red>364</color>.;pale yellow; ; ; ;0; ; ; 
"Please pick a fitting <color=red>aroma</color> for the sample.
 You can choose multiple answers!";floral;rose;honeydew; ;0;1;4; 
"Please pick a fitting <color=red>taste</color> for the same sample.
You can choose multiple answers!";high sweetness;bitter;wood; ;2;6;9; 
Please pick a fitting <color=red>color</color> for sample <color=red>131</color>.;pale yellow; ; ; ;0; ; ; 
"Please pick a fitting <color=red>aroma</color> for the sample.
 You can choose multiple answers!";floral;lemon;vegetal; ;0;3;8; 
"Please pick a fitting <color=red>taste</color> for the same sample.
You can choose multiple answers!";medium sweetness;high acidity;bitter; ;1;5;6; 
Proband ID;18; ; ; 
Studie;CATA; ; ; 
Studie Variante;Weißwein; ; ; 
Umgebung;Weinkeller; ; ; 
