Questions;Answers;;;;Indexes;;;
Bitte ordnen Sie der Probe <color=red>720</color> die entsprechende Farbe zu.;Mittleres gelb; ; ; ;1; ; ; 
"Bitte ordnen Sie derselben Probe den entsprechenden Geruch zu.
Mehrfachnennungen sind möglich!";Fruchtig;Honigmelone;Pfirsich;Birne;0;6;7;9
"Bitte ordnen Sie derselben Probe den entsprechenden Geschmack zu.
Mehrfachnennungen sind möglich!";Süß;Dezente Säure;Schmelz/Cremig; ;0;4;9; 
Bitte ordnen Sie der Probe <color=red>364</color> die entsprechende Farbe zu.;Mittleres gelb; ; ; ;1; ; ; 
"Bitte ordnen Sie derselben Probe den entsprechenden Geruch zu.
Mehrfachnennungen sind möglich!";Blumig;Zitrus;Rose; ;1;5;10; 
"Bitte ordnen Sie derselben Probe den entsprechenden Geschmack zu.
Mehrfachnennungen sind möglich!";Dezente Säure;Schmelz/Cremig; ; ;4;9; ; 
Bitte ordnen Sie der Probe <color=red>597</color> die entsprechende Farbe zu.;Hellgelb; ; ; ;0; ; ; 
"Bitte ordnen Sie derselben Probe den entsprechenden Geruch zu.
Mehrfachnennungen sind möglich!";Vegetativ;Zitrus;Pfirsich; ;2;5;7; 
"Bitte ordnen Sie derselben Probe den entsprechenden Geschmack zu.
Mehrfachnennungen sind möglich!";Starke süße;Dezente Säure;Schmelz/Cremig; ;1;4;9; 
Proband ID;3; ; ; 
Studie;CATA; ; ; 
Studie Variante;Weißwein; ; ; 
Umgebung;Sensoriklabor; ; ; 
