Questions;Answers;;;;;Indexes;;;;
Please pick a fitting <color=red>color</color> for sample <color=red>131</color>.;pale yellow; ; ; ; ;0; ; ; ; 
"Please pick a fitting <color=red>aroma</color> for the sample.
 You can choose multiple answers!";fruity;lemon;honeydew;apple; ;0;5;6;8; 
"Please pick a fitting <color=red>taste</color> for the same sample.
You can choose multiple answers!";high sweetness;acidic; ; ; ;1;2; ; ; 
Please pick a fitting <color=red>color</color> for sample <color=red>364</color>.;pale yellow; ; ; ; ;0; ; ; ; 
"Please pick a fitting <color=red>aroma</color> for the sample.
 You can choose multiple answers!";fruity;floral;lemon;honeydew;rose;0;1;5;6;10
"Please pick a fitting <color=red>taste</color> for the same sample.
You can choose multiple answers!";acidic;bitter;low sweetness; ; ;2;6;7; ; 
Please pick a fitting <color=red>color</color> for sample <color=red>720</color>.;medium yellow; ; ; ; ;1; ; ; ; 
"Please pick a fitting <color=red>aroma</color> for the sample.
 You can choose multiple answers!";vegetal;dull;lemon;wood; ;2;4;5;11; 
"Please pick a fitting <color=red>taste</color> for the same sample.
You can choose multiple answers!";wood;bitter;low sweetness;high acidity;"butter
cream";5;6;7;8;9
Proband ID;1; ; ; ; 
Studie;CATA; ; ; ; 
Studie Variante;Weißwein; ; ; ; 
Umgebung;Weinkeller; ; ; ; 
