Questions;
Answers;118
Total;118
;
Bitte geben Sie ihre Altersklasse an.;
16-24;9
25-39;31
40-54;41
55 oder älter;37
Total;118
;
Bitte geben Sie ihr Geschlecht an.;
Divers;1
Männlich;64
Total;118
Weiblich;53
;
Bitte geben Sie ihre VR Erfahrung an.;
Dies ist mein erstes Mal VR;72
Ein paar mal im Monat;3
Total;118
Weniger oft;42
Wöchentlich;1
;
Weißwein Farbe.;
Total;118
goldgelb;11
grüngelb;36
strohgelb;71
;
Weißwein Geruch.;
Feuerstein;16
Grapefruit;67
Gras;32
Mango;53
Maracuja;76
Schwarze Johannisbeere;31
Total;118
grüne Paprika;33
verdorbene Eier / Kohl;5
;
Weißwein Geschmack;
Abgang kurz;21
Abgang lang;38
Abgang mittel;57
Abgang viel;1
Alkohol mittel;77
Alkohol viel;16
Alkohol wenig;25
Bitterkeit keine Angabe;3
Bitterkeit mittel;31
Bitterkeit viel;9
Bitterkeit wenig;72
Säure mittel;67
Säure viel;32
Säure wenig;18
Süße mittel;56
Süße viel;6
Süße wenig;56
Total;236
keine Angabe;1
;
Weißwein Gesamteindruck.;
Total;118
akzeptabel;35
gut;52
schlecht;2
sehr gut;29
;
Rotwein Farbe.;
Total;118
granatrot;60
hellrot;52
violett;6
;
Rotwein Geruch.;
Brombeere;76
Kaffee;9
Kiefernadel;19
Leder;21
Total;118
Vanille;49
buttrig / Molke;21
getrocknete Pflaume;70
reife Süßkirsche;60
;
Rotwein Geschmack;
Abgang keine Angabe;7
Abgang mittel;61
Abgang viel;23
Abgang wenig;27
Alkohol keine Angabe;2
Alkohol mittel;63
Alkohol viel;32
Alkohol wenig;21
Bitterkeit keine Angabe;1
Bitterkeit mittel;50
Bitterkeit viel;13
Bitterkeit wenig;53
Säure mittel;48
Säure viel;11
Säure wenig;59
Süße mittel;54
Süße viel;39
Süße wenig;25
Total;236
mittel;1
viel;1
;
Rotwein Gesamteindruck.;
Total;118
akzeptabel;47
gut;45
hervorragend;3
schlecht;2
sehr gut;21
;
Zeit in Sekunden;
1000;1
1060;1
1085;1
1156;1
1212;1
1299;1
1374;1
1997;1
260;1
290;1
310;1
327;1
361;1
368;1
370;1
371;1
372;1
382;1
383;1
403;1
404;1
410;1
413;1
414;1
419;1
420;1
424;1
429;1
433;1
434;2
435;2
456;1
461;1
464;1
465;1
472;1
474;1
475;2
476;1
480;2
490;1
496;1
498;1
499;1
507;1
512;1
513;1
514;3
516;1
523;1
525;1
527;1
529;1
533;1
534;1
535;1
539;1
543;1
547;1
564;1
572;1
575;1
588;2
596;1
600;1
606;1
610;2
611;1
613;1
625;3
627;1
630;1
646;1
650;1
655;1
657;1
658;1
665;1
666;1
671;1
680;1
698;1
699;1
700;1
705;1
706;1
709;1
720;1
722;2
723;1
732;1
733;1
742;1
765;1
766;1
767;1
771;1
773;1
819;1
831;1
836;1
933;1
941;2
950;1
967;1
983;1
Total;118
