Questions;Answers; ; ; ; ;Indexes; ; ; ;
Sensoriklabor Probe 720 Farbe;Mittleres gelb; ; ; ; ;1; ; ; ;
Sensoriklabor Probe 720 Geruch;ButtrigLaktisch;Honigmelone;Birne;Holz; ;3;6;9;11;
Sensoriklabor Probe 720 Geschmack;Dezente Säure;Holz;Leichte Süße;SchmelzCremig; ;4;5;7;9;
Sensoriklabor Probe 364 Farbe;Mittleres gelb; ; ; ; ;1; ; ; ;
Sensoriklabor Probe 364 Geruch;Fruchtig;Blumig;Zitrus;Pfirsich;Rose;0;1;5;7;10
Sensoriklabor Probe 364 Geschmack;Süß;Dezente Säure;Bitter; ; ;0;4;6; ;
Sensoriklabor Probe 131 Farbe;Hellgelb; ; ; ; ;0; ; ; ;
Sensoriklabor Probe 131 Geruch;Fruchtig;Zitrus;Pfirsich;Apfel;Birne;0;5;7;8;9
Sensoriklabor Probe 131 Geschmack;Leichte Süße;Dominante Säure; ; ; ;7;8; ; ;
Proband ID;8; ; ; ;
Studie;CATA; ; ; ;
Studie Variante;Weißwein; ; ; ;
Umgebung;Sensoriklabor; ; ; ;
