Questions;Answers; ; ; ; ;Indexes; ; ; ;
Sensoriklabor Probe 131 Farbe;Mittleres gelb; ; ; ; ;1; ; ; ;
Sensoriklabor Probe 131 Geruch;Fruchtig;Zitrus;Pfirsich;Birne;ButtrigLaktisch;2;3;5;7;9
Sensoriklabor Probe 131 Geschmack;Sauer; ; ; ; ;4; ; ; ;
Sensoriklabor Probe 597 Farbe;Mittleres gelb; ; ; ; ;1; ; ; ;
Sensoriklabor Probe 597 Geruch;Honigmelone;ButtrigLaktisch;Holz; ; ;4;9;10; ;
Sensoriklabor Probe 597 Geschmack;Leichte Süße;Dezente Säure;Bitter;Holz; ;0;3;6;9;
Sensoriklabor Probe 720 Farbe;Mittleres gelb; ; ; ; ;1; ; ; ;
Sensoriklabor Probe 720 Geruch;Blumig;Honigmelone;ButtrigLaktisch;Dumpf; ;0;4;9;11;
Sensoriklabor Probe 720 Geschmack;Leichte Süße;Dezente Säure;SchmelzCremig; ; ;0;3;8; ;
Proband ID;26; ; ; ;
Studie;CATA; ; ; ;
Studie Variante;Weißwein; ; ; ;
Umgebung;Sensoriklabor; ; ; ;
