Questions;Answers; ; ; ; ;Indexes; ; ; ;
Sensoriklabor Probe 131 Farbe;Hellgelb; ; ; ; ;0; ; ; ;
Sensoriklabor Probe 131 Geruch;Fruchtig;ButtrigLaktisch; ; ; ;2;9; ; ;
Sensoriklabor Probe 131 Geschmack;Leichte Süße;Dezente Säure;Bitter;SchmelzCremig;Holz;0;3;6;8;9
Sensoriklabor Probe 720 Farbe;Mittleres gelb; ; ; ; ;1; ; ; ;
Sensoriklabor Probe 720 Geruch;Fruchtig;Honigmelone;Birne;ButtrigLaktisch; ;2;4;7;9;
Sensoriklabor Probe 720 Geschmack;Süß;Bitter;SchmelzCremig;Holz; ;1;6;8;9;
Sensoriklabor Probe 364 Farbe;Mittleres gelb; ; ; ; ;1; ; ; ;
Sensoriklabor Probe 364 Geruch;Honigmelone;Pfirsich;Birne; ; ;4;5;7; ;
Sensoriklabor Probe 364 Geschmack;Leichte Süße;Bitter;SchmelzCremig; ; ;0;6;8; ;
Proband ID;25; ; ; ;
Studie;CATA; ; ; ;
Studie Variante;Weißwein; ; ; ;
Umgebung;Sensoriklabor; ; ; ;
