Questions;Answers; ; ; ; ;Indexes; ; ; ;
Sensoriklabor Probe 364 Farbe;Mittleres gelb; ; ; ; ;1; ; ; ;
Sensoriklabor Probe 364 Geruch;Blumig;Rose;Fruchtig;Zitrus;Apfel;0;1;2;3;6
Sensoriklabor Probe 364 Geschmack;Dezente Säure;Sauer;SchmelzCremig; ; ;3;4;8; ;
Sensoriklabor Probe 720 Farbe;Mittleres gelb; ; ; ; ;1; ; ; ;
Sensoriklabor Probe 720 Geruch;Blumig;Fruchtig;Zitrus;Apfel; ;0;2;3;6;
Sensoriklabor Probe 720 Geschmack;Leichte Süße;Alkoholisch;SchmelzCremig; ; ;0;7;8; ;
Sensoriklabor Probe 131 Farbe;Gelblich-grün; ; ; ; ;2; ; ; ;
Sensoriklabor Probe 131 Geruch;Fruchtig;Zitrus;Apfel;Vegetativ; ;2;3;6;8;
Sensoriklabor Probe 131 Geschmack;Leichte Süße;Bitter;SchmelzCremig; ; ;0;6;8; ;
Proband ID;22; ; ; ;
Studie;CATA; ; ; ;
Studie Variante;Weißwein; ; ; ;
Umgebung;Sensoriklabor; ; ; ;
