Questions;Answers; ; ; ; ;Indexes; ; ; ;
Sensoriklabor Probe 131 Farbe;Mittleres gelb; ; ; ; ;1; ; ; ;
Sensoriklabor Probe 131 Geruch;Fruchtig;Pfirsich;Apfel;Birne; ;0;7;8;9;
Sensoriklabor Probe 131 Geschmack;Sauer;Bitter;Leichte Süße; ; ;2;6;7; ;
Sensoriklabor Probe 720 Farbe;Mittleres gelb; ; ; ; ;1; ; ; ;
Sensoriklabor Probe 720 Geruch;Vegetativ;SchmelzCremig;Apfel;Holz; ;2;3;8;11;
Sensoriklabor Probe 720 Geschmack;Sauer;Alkoholisch;Bitter;SchmelzCremig; ;2;3;6;9;
Sensoriklabor Probe 364 Farbe;Mittleres gelb; ; ; ; ;1; ; ; ;
Sensoriklabor Probe 364 Geruch;Fruchtig;Blumig;Honigmelone;Pfirsich;Rose;0;1;6;7;10
Sensoriklabor Probe 364 Geschmack;Sauer;Dominante Säure; ; ; ;2;8; ; ;
Proband ID;19; ; ; ;
Studie;CATA; ; ; ;
Studie Variante;Weißwein; ; ; ;
Umgebung;Sensoriklabor; ; ; ;
