Questions;Answers; ; ; ; ;Indexes; ; ; ;
Sensoriklabor Probe 720 Farbe;Mittleres gelb; ; ; ; ;1; ; ; ;
Sensoriklabor Probe 720 Geruch;Fruchtig;Vegetativ;Honigmelone;Apfel;Birne;0;2;6;8;9
Sensoriklabor Probe 720 Geschmack;Sauer;Alkoholisch;Leichte Süße;Schmelz/Cremig; ;2;3;7;9;
Sensoriklabor Probe 364 Farbe;Mittleres gelb; ; ; ; ;1; ; ; ;
Sensoriklabor Probe 364 Geruch;Fruchtig;Blumig;Pfirsich;Birne;Rose;0;1;7;9;10
Sensoriklabor Probe 364 Geschmack;Dezente Säure;Bitter;Leichte Süße; ; ;4;6;7; ;
Sensoriklabor Probe 131 Farbe;Mittleres gelb; ; ; ; ;1; ; ; ;
Sensoriklabor Probe 131 Geruch;Vegetativ;Dumpf;Apfel; ; ;2;4;8; ;
Sensoriklabor Probe 131 Geschmack;Sauer;Leichte Süße;Schmelz/Cremig; ; ;2;7;9; ;
Proband ID;1; ; ; ;
Studie;CATA; ; ; ;
Studie Variante;Weißwein; ; ; ;
Umgebung;Sensoriklabor; ; ; ;
