Virtuell Weinkeller Questions;Answers;;;
Virtuell Weinkeller Probe 364 Farbe;Mittleres gelb;;;
Virtuell Weinkeller Probe 364 Geruch;Fruchtig;Honigmelone;Apfel;
Virtuell Weinkeller Probe 364 Geschmack;Süß;Dominante Säure;;
Virtuell Weinkeller Probe 597 Farbe;Mittleres gelb;;;
Virtuell Weinkeller Probe 597 Geruch;Fruchtig;Zitrus;Apfel;Birne
Virtuell Weinkeller Probe 597 Geschmack;Starke Süße;Dezente Säure;Bitter;
Virtuell Weinkeller Probe 131 Farbe;Hellgelb;;;
Virtuell Weinkeller Probe 131 Geruch;Blumig;Rose;Holz;
Virtuell Weinkeller Probe 131 Geschmack;Holz;Dominante Säure;;
