Questions;Answers;;;
Virtuell Weinkeller Probe 364 Farbe;Mittleres gelb;;;
Virtuell Weinkeller Probe 364 Geruch;Zitrus;Honigmelone;Apfel;Birne
Virtuell Weinkeller Probe 364 Geschmack;Alkoholisch;Bitter;Leichte Süße;Dominante Säure
Virtuell Weinkeller Probe 720 Farbe;Mittleres gelb;;;
Virtuell Weinkeller Probe 720 Geruch;Dumpf;;;
Virtuell Weinkeller Probe 720 Geschmack;Dezente Säure;SchmelzCremig;;
Virtuell Weinkeller Probe 131 Farbe;Hellgelb;;;
Virtuell Weinkeller Probe 131 Geruch;Blumig;Zitrus;Rose;
Virtuell Weinkeller Probe 131 Geschmack;Sauer;Alkoholisch;Leichte Süße;
