Questions;Answers;;;
Virtuell Weinkeller Probe 597 Farbe;Gelblich-grün;;;
Virtuell Weinkeller Probe 597 Geruch;Fruchtig;Zitrus;Pfirsich;Birne
Virtuell Weinkeller Probe 597 Geschmack;Dezente Säure;Bitter;Leichte Süße;SchmelzCremig
Virtuell Weinkeller Probe 364 Farbe;Gelblich-grün;;;
Virtuell Weinkeller Probe 364 Geruch;Blumig;Zitrus;Rose;
Virtuell Weinkeller Probe 364 Geschmack;Dezente Säure;;;
Virtuell Weinkeller Probe 131 Farbe;Hellgelb;;;
Virtuell Weinkeller Probe 131 Geruch;Zitrus;Pfirsich;;
Virtuell Weinkeller Probe 131 Geschmack;Dezente Säure;;;
