Questions;Answers;;;
Virtuell Weinkeller Probe 720 Farbe;Mittleres gelb;;;
Virtuell Weinkeller Probe 720 Geruch;Zitrus;Birne;ButtrigLaktisch;
Virtuell Weinkeller Probe 720 Geschmack;Leichte Süße;Dezente Säure;Bitter;SchmelzCremig
Virtuell Weinkeller Probe 364 Farbe;Hellgelb;;;
Virtuell Weinkeller Probe 364 Geruch;Rose;Fruchtig;Honigmelone;
Virtuell Weinkeller Probe 364 Geschmack;Leichte Süße;Sauer;Bitter;
Virtuell Weinkeller Probe 131 Farbe;Hellgelb;;;
Virtuell Weinkeller Probe 131 Geruch;Zitrus;Birne;Vegetativ;
Virtuell Weinkeller Probe 131 Geschmack;Dominante Säure;Alkoholisch;;
