Weinkeller Questions;Answers;;;
Weinkeller Probe 131 Farbe;Hellgelb;;;
Weinkeller Probe 131 Geruch;Fruchtig;Zitrus;Pfirsich;Apfel
Weinkeller Probe 131 Geschmack;Leichte Süße;Sauer;;
Weinkeller Probe 597 Farbe;Mittleres gelb;;;
Weinkeller Probe 597 Geruch;Honigmelone;Birne;ButtrigLaktisch;Holz
Weinkeller Probe 597 Geschmack;Süß;Dezente Säure;SchmelzCremig;
Weinkeller Probe 364 Farbe;Mittleres gelb;;;
Weinkeller Probe 364 Geruch;Blumig;Rose;Fruchtig;
Weinkeller Probe 364 Geschmack;Starke Süße;Dezente Säure;Bitter;Alkoholisch
