Questions;Answers;;
Bitte geben Sie ihre Altersklasse an.;25-39;;
Bitte geben Sie ihr Geschlecht an.;Männlich;;
Bitte geben Sie ihre VR Erfahrung an.;Weniger oft;;
Weißwein Farbe.;grüngelb;;
Weißwein Geruch.;Schwarze Johannisbeere;Grapefruit;
Weißwein Geschmack;Süße wenig;Säure mittel;Bitterkeit viel
Weißwein Geschmack;Alkohol mittel;Abgang mittel; 
Weißwein Gesamteindruck.;akzeptabel;;
Rotwein Farbe.;hellrot;;
Rotwein Geruch.;reife Süßkirsche;Brombeere;getrocknete Pflaume
Rotwein Geschmack;Süße mittel;Säure mittel;Bitterkeit mittel
Rotwein Geschmack;Alkohol wenig;Abgang keine Angabe; 
Rotwein Gesamteindruck.;akzeptabel;;
Zeit in Sekunden;610;;
