Questions;Answers;;
Bitte geben Sie ihre Altersklasse an.;40-54;;
Bitte geben Sie ihr Geschlecht an.;Männlich;;
Bitte geben Sie ihre VR Erfahrung an.;Weniger oft;;
Weißwein Farbe.;strohgelb;;
Weißwein Geruch.;Maracuja;Grapefruit;Gras
Weißwein Geschmack;Süße wenig;Säure mittel;Bitterkeit mittel
Weißwein Geschmack;Alkohol viel;Abgang mittel; 
Weißwein Gesamteindruck.;gut;;
Rotwein Farbe.;hellrot;;
Rotwein Geruch.;Brombeere;Kiefernadel;
Rotwein Geschmack;Süße wenig;Säure mittel;Bitterkeit wenig
Rotwein Geschmack;Alkohol viel;Abgang mittel; 
Rotwein Gesamteindruck.;akzeptabel;;
Zeit in Sekunden;424;;
