Questions;Answers;;
Bitte geben Sie ihre Altersklasse an.;55 oder älter;;
Bitte geben Sie ihr Geschlecht an.;Männlich;;
Bitte geben Sie ihre VR Erfahrung an.;Weniger oft;;
Weißwein Farbe.;grüngelb;;
Weißwein Geruch.;Maracuja;Mango;Grapefruit
Weißwein Geschmack;Süße wenig;Säure viel;Bitterkeit mittel
Weißwein Geschmack;Alkohol mittel;Abgang mittel; 
Weißwein Gesamteindruck.;gut;;
Rotwein Farbe.;hellrot;;
Rotwein Geruch.;reife Süßkirsche;getrocknete Pflaume;Vanille
Rotwein Geschmack;Süße viel;Säure mittel;Bitterkeit wenig
Rotwein Geschmack;Alkohol mittel;Abgang wenig; 
Rotwein Gesamteindruck.;akzeptabel;;
Zeit in Sekunden;435;;
