Questions;Answers;;
Bitte geben Sie ihre Altersklasse an.;25-39;;
Bitte geben Sie ihr Geschlecht an.;Weiblich;;
Bitte geben Sie ihre VR Erfahrung an.;Dies ist mein erstes Mal VR;;
Weißwein Farbe.;grüngelb;;
Weißwein Geruch.;Maracuja;Mango;
Weißwein Geschmack;Süße viel;Säure mittel;Bitterkeit mittel
Weißwein Geschmack;Alkohol viel;Abgang mittel; 
Weißwein Gesamteindruck.;gut;;
Rotwein Farbe.;hellrot;;
Rotwein Geruch.;getrocknete Pflaume;Vanille;
Rotwein Geschmack;Süße viel;Säure mittel;Bitterkeit wenig
Rotwein Geschmack;Alkohol mittel;Abgang viel; 
Rotwein Gesamteindruck.;hervorragend;;
Zeit in Sekunden;383;;
