Questions;Answers;;
Bitte geben Sie ihre Altersklasse an.;25-39;;
Bitte geben Sie ihr Geschlecht an.;Weiblich;;
Bitte geben Sie ihre VR Erfahrung an.;Weniger oft;;
Weißwein Farbe.;strohgelb;;
Weißwein Geruch.;Maracuja;;
Weißwein Geschmack;Süße wenig;Säure mittel;Bitterkeit mittel
Weißwein Geschmack;Alkohol mittel;Abgang lang; 
Weißwein Gesamteindruck.;akzeptabel;;
Rotwein Farbe.;granatrot;;
Rotwein Geruch.;reife Süßkirsche;;
Rotwein Geschmack;Süße mittel;Säure mittel;Bitterkeit mittel
Rotwein Geschmack;Alkohol mittel;Abgang mittel; 
Rotwein Gesamteindruck.;akzeptabel;;
Zeit in Sekunden;765;;
