Questions;Answers;;
Bitte geben Sie ihre Altersklasse an.;40-54;;
Bitte geben Sie ihr Geschlecht an.;Männlich;;
Bitte geben Sie ihre VR Erfahrung an.;Ein paar mal im Monat;;
Weißwein Farbe.;grüngelb;;
Weißwein Geruch.;Mango;Feuerstein;
Weißwein Geschmack;Süße mittel;Säure mittel;Bitterkeit wenig
Weißwein Geschmack;Alkohol wenig;Abgang viel; 
Weißwein Gesamteindruck.;akzeptabel;;
Rotwein Farbe.;hellrot;;
Rotwein Geruch.;getrocknete Pflaume;Vanille;
Rotwein Geschmack;Süße mittel;Säure wenig;Bitterkeit mittel
Rotwein Geschmack;Alkohol wenig;Abgang mittel; 
Rotwein Gesamteindruck.;akzeptabel;;
Zeit in Sekunden;1299;;
