Questions;Answers;;
Bitte geben Sie ihre Altersklasse an.;40-54;;
Bitte geben Sie ihr Geschlecht an.;Weiblich;;
Bitte geben Sie ihre VR Erfahrung an.;Weniger oft;;
Weißwein Farbe.;strohgelb;;
Weißwein Geruch.;Schwarze Johannisbeere;;
Weißwein Geschmack;Süße wenig;Säure mittel;Bitterkeit wenig
Weißwein Geschmack;Alkohol mittel;Abgang kurz; 
Weißwein Gesamteindruck.;akzeptabel;;
Rotwein Farbe.;granatrot;;
Rotwein Geruch.;Brombeere;getrocknete Pflaume;
Rotwein Geschmack;Süße mittel;Säure wenig;Bitterkeit wenig
Rotwein Geschmack;Alkohol mittel;Abgang mittel; 
Rotwein Gesamteindruck.;gut;;
Zeit in Sekunden;771;;
