Questions;Answers;;;
Bitte geben Sie ihre Altersklasse an.;55 oder älter;;;
Bitte geben Sie ihr Geschlecht an.;Weiblich;;;
Bitte geben Sie ihre VR Erfahrung an.;Weniger oft;;;
Weißwein Farbe.;strohgelb;;;
Weißwein Geruch.;Maracuja;Mango;Grapefruit;
Weißwein Geschmack;Süße wenig;Säure mittel;Bitterkeit wenig;
Weißwein Geschmack;Alkohol mittel;Abgang lang; ; 
Weißwein Gesamteindruck.;sehr gut;;;
Rotwein Farbe.;hellrot;;;
Rotwein Geruch.;reife Süßkirsche;getrocknete Pflaume;Vanille;
Rotwein Geschmack;Süße mittel;Säure wenig;Bitterkeit wenig;
Rotwein Geschmack;Alkohol mittel;Abgang mittel; ; 
Rotwein Gesamteindruck.;sehr gut;;;
Zeit in Sekunden;950;;;
