Questions;Answers;;;
Bitte geben Sie ihre Altersklasse an.;55 oder älter;;;
Bitte geben Sie ihr Geschlecht an.;Weiblich;;;
Bitte geben Sie ihre VR Erfahrung an.;Dies ist mein erstes Mal VR;;;
Weißwein Farbe.;grüngelb;;;
Weißwein Geruch.;Grapefruit;grüne Paprika;;
Weißwein Geschmack;Süße wenig;Säure viel;Bitterkeit mittel;
Weißwein Geschmack;Alkohol mittel;Abgang mittel; ; 
Weißwein Gesamteindruck.;akzeptabel;;;
Rotwein Farbe.;hellrot;;;
Rotwein Geruch.;reife Süßkirsche;Brombeere;Vanille;Kiefernadel
Rotwein Geschmack;Süße wenig;Säure mittel;Bitterkeit keine Angabe;
Rotwein Geschmack;Alkohol wenig;Abgang wenig; ; 
Rotwein Gesamteindruck.;gut;;;
Zeit in Sekunden;705;;;
