Questions;Answers;;
Bitte geben Sie ihre Altersklasse an.;55 oder älter;;
Bitte geben Sie ihr Geschlecht an.;Weiblich;;
Bitte geben Sie ihre VR Erfahrung an.;Weniger oft;;
Weißwein Farbe.;strohgelb;;
Weißwein Geruch.;Maracuja;;
Weißwein Geschmack;Süße mittel;Säure viel;Bitterkeit wenig
Weißwein Geschmack;Alkohol wenig;Abgang lang; 
Weißwein Gesamteindruck.;akzeptabel;;
Rotwein Farbe.;violett;;
Rotwein Geruch.;Brombeere;getrocknete Pflaume;Leder
Rotwein Geschmack;Süße wenig;Säure mittel;Bitterkeit wenig
Rotwein Geschmack;Alkohol viel;Abgang mittel; 
Rotwein Gesamteindruck.;schlecht;;
Zeit in Sekunden;666;;
