Questions;Answers;;;;
Bitte geben Sie ihre Altersklasse an.;55 oder älter;;;;
Bitte geben Sie ihr Geschlecht an.;Männlich;;;;
Bitte geben Sie ihre VR Erfahrung an.;Dies ist mein erstes Mal VR;;;;
Weißwein Farbe.;grüngelb;;;;
Weißwein Geruch.;Maracuja;Grapefruit;grüne Paprika;Feuerstein;verdorbene Eier / Kohl
Weißwein Geschmack;Süße wenig;Säure mittel;Bitterkeit mittel;;
Weißwein Geschmack;Alkohol mittel;Abgang mittel; ; ; 
Weißwein Gesamteindruck.;akzeptabel;;;;
Rotwein Farbe.;hellrot;;;;
Rotwein Geruch.;reife Süßkirsche;getrocknete Pflaume;;;
Rotwein Geschmack;Süße viel;Säure wenig;Bitterkeit mittel;;
Rotwein Geschmack;Alkohol viel;Abgang viel; ; ; 
Rotwein Gesamteindruck.;akzeptabel;;;;
Zeit in Sekunden;433;;;;
