Questions;Answers;;;;
Bitte geben Sie ihre Altersklasse an.;55 oder älter;;;;
Bitte geben Sie ihr Geschlecht an.;Männlich;;;;
Bitte geben Sie ihre VR Erfahrung an.;Dies ist mein erstes Mal VR;;;;
Weißwein Farbe.;grüngelb;;;;
Weißwein Geruch.;Maracuja;Mango;Grapefruit;Gras;
Weißwein Geschmack;Süße wenig;Säure mittel;Bitterkeit viel;;
Weißwein Geschmack;Alkohol viel;Abgang mittel; ; ; 
Weißwein Gesamteindruck.;akzeptabel;;;;
Rotwein Farbe.;granatrot;;;;
Rotwein Geruch.;reife Süßkirsche;Brombeere;getrocknete Pflaume;Vanille;Kiefernadel
Rotwein Geschmack;Süße wenig;Säure mittel;Bitterkeit wenig;mittel;
Rotwein Geschmack;Alkohol viel;Abgang viel; ; ; 
Rotwein Gesamteindruck.;akzeptabel;;;;
Zeit in Sekunden;1060;;;;
