Questions;Answers;;
Bitte geben Sie ihre Altersklasse an.;16-24;;
Bitte geben Sie ihr Geschlecht an.;Männlich;;
Bitte geben Sie ihre VR Erfahrung an.;Dies ist mein erstes Mal VR;;
Weißwein Farbe.;strohgelb;;
Weißwein Geruch.;Schwarze Johannisbeere;Maracuja;
Weißwein Geschmack;Süße mittel;Säure viel;Bitterkeit wenig
Weißwein Geschmack;Alkohol mittel;Abgang kurz; 
Weißwein Gesamteindruck.;gut;;
Rotwein Farbe.;granatrot;;
Rotwein Geruch.;getrocknete Pflaume;Vanille;
Rotwein Geschmack;Süße viel;Säure wenig;Bitterkeit mittel
Rotwein Geschmack;Alkohol mittel;Abgang wenig; 
Rotwein Gesamteindruck.;akzeptabel;;
Zeit in Sekunden;435;;
