Questions;Answers;;
Bitte geben Sie ihre Altersklasse an.;40-54;;
Bitte geben Sie ihr Geschlecht an.;Weiblich;;
Bitte geben Sie ihre VR Erfahrung an.;Weniger oft;;
Weißwein Farbe.;strohgelb;;
Weißwein Geruch.;grüne Paprika;Feuerstein;
Weißwein Geschmack;Süße wenig;Säure viel;Bitterkeit mittel
Weißwein Geschmack;Alkohol viel;Abgang mittel; 
Weißwein Gesamteindruck.;sehr gut;;
Rotwein Farbe.;hellrot;;
Rotwein Geruch.;reife Süßkirsche;buttrig / Molke;
Rotwein Geschmack;Süße viel;Säure mittel;Bitterkeit mittel
Rotwein Geschmack;Alkohol mittel;Abgang mittel; 
Rotwein Gesamteindruck.;gut;;
Zeit in Sekunden;1997;;
