Questions;Answers;;;
Bitte geben Sie ihre Altersklasse an.;16-24;;;
Bitte geben Sie ihr Geschlecht an.;Weiblich;;;
Bitte geben Sie ihre VR Erfahrung an.;Dies ist mein erstes Mal VR;;;
Weißwein Farbe.;strohgelb;;;
Weißwein Geruch.;Maracuja;Mango;Gras;Feuerstein
Weißwein Geschmack;Süße mittel;Säure viel;Bitterkeit wenig;
Weißwein Geschmack;Alkohol mittel;Abgang lang; ; 
Weißwein Gesamteindruck.;gut;;;
Rotwein Farbe.;granatrot;;;
Rotwein Geruch.;reife Süßkirsche;Brombeere;getrocknete Pflaume;Vanille
Rotwein Geschmack;Süße wenig;Säure wenig;Bitterkeit mittel;
Rotwein Geschmack;Alkohol wenig;Abgang viel; ; 
Rotwein Gesamteindruck.;akzeptabel;;;
Zeit in Sekunden;625;;;
