Questions;Answers;;
Bitte geben Sie ihre Altersklasse an.;55 oder älter;;
Bitte geben Sie ihr Geschlecht an.;Weiblich;;
Bitte geben Sie ihre VR Erfahrung an.;Dies ist mein erstes Mal VR;;
Weißwein Farbe.;strohgelb;;
Weißwein Geruch.;Maracuja;Grapefruit;
Weißwein Geschmack;Süße wenig;Säure wenig;Bitterkeit wenig
Weißwein Geschmack;Alkohol wenig;Abgang mittel; 
Weißwein Gesamteindruck.;akzeptabel;;
Rotwein Farbe.;granatrot;;
Rotwein Geruch.;Brombeere;;
Rotwein Geschmack;Süße viel;Säure mittel;Bitterkeit mittel
Rotwein Geschmack;Alkohol viel;Abgang mittel; 
Rotwein Gesamteindruck.;akzeptabel;;
Zeit in Sekunden;967;;
