Questions;Answers;;
Bitte geben Sie ihre Altersklasse an.;55 oder älter;;
Bitte geben Sie ihr Geschlecht an.;Weiblich;;
Bitte geben Sie ihre VR Erfahrung an.;Weniger oft;;
Weißwein Farbe.;strohgelb;;
Weißwein Geruch.;Maracuja;Mango;
Weißwein Geschmack;Süße wenig;Säure viel;Bitterkeit wenig
Weißwein Geschmack;Alkohol mittel;Abgang mittel; 
Weißwein Gesamteindruck.;gut;;
Rotwein Farbe.;granatrot;;
Rotwein Geruch.;reife Süßkirsche;Brombeere;
Rotwein Geschmack;Süße viel;Säure wenig;Bitterkeit mittel
Rotwein Geschmack;Alkohol mittel;Abgang mittel; 
Rotwein Gesamteindruck.;gut;;
Zeit in Sekunden;413;;
