Questions;Answers;;
Bitte geben Sie ihre Altersklasse an.;55 oder älter;;
Bitte geben Sie ihr Geschlecht an.;Männlich;;
Bitte geben Sie ihre VR Erfahrung an.;Weniger oft;;
Weißwein Farbe.;grüngelb;;
Weißwein Geruch.;Schwarze Johannisbeere;Grapefruit;
Weißwein Geschmack;Süße wenig;Säure mittel;Bitterkeit wenig
Weißwein Geschmack;Alkohol mittel;Abgang lang; 
Weißwein Gesamteindruck.;sehr gut;;
Rotwein Farbe.;hellrot;;
Rotwein Geruch.;reife Süßkirsche;getrocknete Pflaume;
Rotwein Geschmack;Süße mittel;Säure wenig;Bitterkeit mittel
Rotwein Geschmack;Alkohol mittel;Abgang mittel; 
Rotwein Gesamteindruck.;gut;;
Zeit in Sekunden;529;;
