Questions;Answers;;
Bitte geben Sie ihre Altersklasse an.;25-39;;
Bitte geben Sie ihr Geschlecht an.;Weiblich;;
Bitte geben Sie ihre VR Erfahrung an.;Dies ist mein erstes Mal VR;;
Weißwein Farbe.;strohgelb;;
Weißwein Geruch.;Maracuja;Mango;Grapefruit
Weißwein Geschmack;Süße wenig;Säure mittel;Bitterkeit wenig
Weißwein Geschmack;Alkohol viel;Abgang mittel; 
Weißwein Gesamteindruck.;sehr gut;;
Rotwein Farbe.;granatrot;;
Rotwein Geruch.;Brombeere;getrocknete Pflaume;Kaffee
Rotwein Geschmack;Süße mittel;Säure wenig;Bitterkeit wenig
Rotwein Geschmack;Alkohol mittel;Abgang keine Angabe; 
Rotwein Gesamteindruck.;sehr gut;;
Zeit in Sekunden;658;;
