Questions;Answers;;
Bitte geben Sie ihre Altersklasse an.;40-54;;
Bitte geben Sie ihr Geschlecht an.;Männlich;;
Bitte geben Sie ihre VR Erfahrung an.;Weniger oft;;
Weißwein Farbe.;strohgelb;;
Weißwein Geruch.;Grapefruit;Gras;
Weißwein Geschmack;Süße mittel;Säure mittel;Bitterkeit wenig
Weißwein Geschmack;Alkohol mittel;Abgang mittel; 
Weißwein Gesamteindruck.;akzeptabel;;
Rotwein Farbe.;granatrot;;
Rotwein Geruch.;reife Süßkirsche;Brombeere;Kiefernadel
Rotwein Geschmack;Süße viel;Säure wenig;Bitterkeit wenig
Rotwein Geschmack;Alkohol wenig;Abgang viel; 
Rotwein Gesamteindruck.;sehr gut;;
Zeit in Sekunden;434;;
