Questions;Answers;;;
Bitte geben Sie ihre Altersklasse an.;40-54;;;
Bitte geben Sie ihr Geschlecht an.;Männlich;;;
Bitte geben Sie ihre VR Erfahrung an.;Dies ist mein erstes Mal VR;;;
Weißwein Farbe.;strohgelb;;;
Weißwein Geruch.;Schwarze Johannisbeere;Maracuja;Mango;Grapefruit
Weißwein Geschmack;Süße mittel;;;
Weißwein Geschmack;Alkohol mittel;Abgang mittel; ; 
Weißwein Gesamteindruck.;sehr gut;;;
Rotwein Farbe.;hellrot;;;
Rotwein Geruch.;Brombeere;getrocknete Pflaume;Vanille;
Rotwein Geschmack;Süße mittel;Säure mittel;Bitterkeit wenig;
Rotwein Geschmack;Alkohol mittel;Abgang mittel; ; 
Rotwein Gesamteindruck.;gut;;;
Zeit in Sekunden;464;;;
