Questions;Answers;;
Bitte geben Sie ihre Altersklasse an.;55 oder älter;;
Bitte geben Sie ihr Geschlecht an.;Männlich;;
Bitte geben Sie ihre VR Erfahrung an.;Dies ist mein erstes Mal VR;;
Weißwein Farbe.;strohgelb;;
Weißwein Geruch.;Schwarze Johannisbeere;Mango;
Weißwein Geschmack;Süße mittel;Säure mittel;Bitterkeit wenig
Weißwein Geschmack;Alkohol mittel;Abgang kurz; 
Weißwein Gesamteindruck.;gut;;
Rotwein Farbe.;granatrot;;
Rotwein Geruch.;Brombeere;Vanille;
Rotwein Geschmack;Süße viel;Säure viel;Bitterkeit mittel
Rotwein Geschmack;Alkohol mittel;Abgang mittel; 
Rotwein Gesamteindruck.;gut;;
Zeit in Sekunden;499;;
