Questions;Answers;;
Bitte geben Sie ihre Altersklasse an.;40-54;;
Bitte geben Sie ihr Geschlecht an.;Weiblich;;
Bitte geben Sie ihre VR Erfahrung an.;Dies ist mein erstes Mal VR;;
Weißwein Farbe.;strohgelb;;
Weißwein Geruch.;Maracuja;Grapefruit;Feuerstein
Weißwein Geschmack;Süße wenig;Säure mittel;Bitterkeit viel
Weißwein Geschmack;Alkohol wenig;Abgang mittel; 
Weißwein Gesamteindruck.;akzeptabel;;
Rotwein Farbe.;hellrot;;
Rotwein Geruch.;Brombeere;Vanille;Kiefernadel
Rotwein Geschmack;Süße viel;Säure mittel;Bitterkeit wenig
Rotwein Geschmack;Alkohol mittel;Abgang mittel; 
Rotwein Gesamteindruck.;gut;;
Zeit in Sekunden;527;;
