Questions;Answers;;
Bitte geben Sie ihre Altersklasse an.;40-54;;
Bitte geben Sie ihr Geschlecht an.;Männlich;;
Bitte geben Sie ihre VR Erfahrung an.;Dies ist mein erstes Mal VR;;
Weißwein Farbe.;strohgelb;;
Weißwein Geruch.;Mango;Gras;
Weißwein Geschmack;Süße mittel;Säure mittel;Bitterkeit wenig
Weißwein Geschmack;Alkohol mittel;Abgang mittel; 
Weißwein Gesamteindruck.;gut;;
Rotwein Farbe.;granatrot;;
Rotwein Geruch.;reife Süßkirsche;Brombeere;Kiefernadel
Rotwein Geschmack;Süße mittel;Säure wenig;Bitterkeit mittel
Rotwein Geschmack;Alkohol mittel;Abgang mittel; 
Rotwein Gesamteindruck.;sehr gut;;
Zeit in Sekunden;650;;
