Questions;Answers;;
Bitte geben Sie ihre Altersklasse an.;25-39;;
Bitte geben Sie ihr Geschlecht an.;Männlich;;
Bitte geben Sie ihre VR Erfahrung an.;Dies ist mein erstes Mal VR;;
Weißwein Farbe.;strohgelb;;
Weißwein Geruch.;Maracuja;Gras;Feuerstein
Weißwein Geschmack;Süße mittel;Säure mittel;Bitterkeit wenig
Weißwein Geschmack;Alkohol mittel;Abgang kurz; 
Weißwein Gesamteindruck.;akzeptabel;;
Rotwein Farbe.;hellrot;;
Rotwein Geruch.;reife Süßkirsche;Leder;buttrig / Molke
Rotwein Geschmack;Süße mittel;Säure mittel;Bitterkeit mittel
Rotwein Geschmack;Alkohol viel;Abgang mittel; 
Rotwein Gesamteindruck.;akzeptabel;;
Zeit in Sekunden;310;;
