Questions;Answers;;;
Bitte geben Sie ihre Altersklasse an.;55 oder älter;;;
Bitte geben Sie ihr Geschlecht an.;Weiblich;;;
Bitte geben Sie ihre VR Erfahrung an.;Dies ist mein erstes Mal VR;;;
Weißwein Farbe.;grüngelb;;;
Weißwein Geruch.;Grapefruit;Feuerstein;;
Weißwein Geschmack;Süße wenig;Säure mittel;Bitterkeit wenig;
Weißwein Geschmack;Alkohol mittel;Abgang mittel; ; 
Weißwein Gesamteindruck.;sehr gut;;;
Rotwein Farbe.;hellrot;;;
Rotwein Geruch.;reife Süßkirsche;Brombeere;getrocknete Pflaume;Leder
Rotwein Geschmack;Süße mittel;Säure wenig;Bitterkeit wenig;
Rotwein Geschmack;Alkohol mittel;Abgang mittel; ; 
Rotwein Gesamteindruck.;sehr gut;;;
Zeit in Sekunden;819;;;
