Questions;Answers;;;
Bitte geben Sie ihre Altersklasse an.;40-54;;;
Bitte geben Sie ihr Geschlecht an.;Männlich;;;
Bitte geben Sie ihre VR Erfahrung an.;Weniger oft;;;
Weißwein Farbe.;grüngelb;;;
Weißwein Geruch.;Maracuja;Mango;Grapefruit;grüne Paprika
Weißwein Geschmack;Süße wenig;Säure mittel;Bitterkeit wenig;
Weißwein Geschmack;Alkohol mittel;Abgang mittel; ; 
Weißwein Gesamteindruck.;sehr gut;;;
Rotwein Farbe.;granatrot;;;
Rotwein Geruch.;reife Süßkirsche;Brombeere;getrocknete Pflaume;
Rotwein Geschmack;Süße mittel;Säure mittel;Bitterkeit mittel;
Rotwein Geschmack;Alkohol mittel;Abgang mittel; ; 
Rotwein Gesamteindruck.;gut;;;
Zeit in Sekunden;742;;;
